accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0001258897-19-001626,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001626/0001258897-19-001626-index.htm
0001258897-19-001635,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001635/0001258897-19-001635-index.htm
0001145549-19-016309,N-MFP2,933691,JNL SERIES TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/933691/000114554919016309/0001145549-19-016309-index.htm
0001145549-19-016394,N-MFP2,703642,DEUTSCHE DWS MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/703642/000114554919016394/0001145549-19-016394-index.htm
0001145549-19-016415,N-MFP2,1034386,"T. Rowe Price Reserve Investment Funds, Inc.",2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1034386/000114554919016415/0001145549-19-016415-index.htm
0001145549-19-016238,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/747576/000114554919016238/0001145549-19-016238-index.htm
0001145549-19-016302,N-MFP2,788606,VANGUARD PENNSYLVANIA TAX-FREE FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/788606/000114554919016302/0001145549-19-016302-index.htm
0001145549-19-016366,N-MFP2,1034386,"T. Rowe Price Reserve Investment Funds, Inc.",2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1034386/000114554919016366/0001145549-19-016366-index.htm
0001145549-19-016469,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016469/0001145549-19-016469-index.htm
0001145549-19-016491,N-MFP2,765485,INSTITUTIONAL FIDUCIARY TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/765485/000114554919016491/0001145549-19-016491-index.htm
0001145549-19-016277,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919016277/0001145549-19-016277-index.htm
0001145549-19-016391,N-MFP2,858372,CASH ACCOUNT TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/858372/000114554919016391/0001145549-19-016391-index.htm
0001004726-19-000113,N-MFP2,1091439,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1091439/000100472619000113/0001004726-19-000113-index.htm
0001145549-19-016305,N-MFP2,857490,VANGUARD VARIABLE INSURANCE FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857490/000114554919016305/0001145549-19-016305-index.htm
0001145549-19-016442,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016442/0001145549-19-016442-index.htm
0001145549-19-016272,N-MFP2,916620,NORTHERN FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/916620/000114554919016272/0001145549-19-016272-index.htm
0001145549-19-016298,N-MFP2,225997,VANGUARD MUNICIPAL BOND FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/225997/000114554919016298/0001145549-19-016298-index.htm
0001145549-19-016301,N-MFP2,788599,VANGUARD NEW YORK TAX-FREE FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/788599/000114554919016301/0001145549-19-016301-index.htm
0001145549-19-016405,N-MFP2,863209,INVESTORS CASH TRUST,2019-06-07,2019-05-31,S000026922,https://www.sec.gov/Archives/edgar/data/863209/000114554919016405/0001145549-19-016405-index.htm
0001145549-19-016432,N-MFP2,205007,SHORT-TERM INVESTMENTS TRUST,2019-06-07,2019-05-31,S000000223,https://www.sec.gov/Archives/edgar/data/205007/000114554919016432/0001145549-19-016432-index.htm
0001145549-19-016464,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016464/0001145549-19-016464-index.htm
0001145549-19-016508,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919016508/0001145549-19-016508-index.htm
0001145549-19-016507,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919016507/0001145549-19-016507-index.htm
0001718745-19-000154,N-MFP2,1217286,JPMorgan Trust I,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000154/0001718745-19-000154-index.htm
0001022695-19-000047,N-MFP2,1022695,FIDELITY REVERE STREET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1022695/000102269519000047/0001022695-19-000047-index.htm
0000357057-19-000028,N-MFP2,357057,FIDELITY MASSACHUSETTS MUNICIPAL TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/357057/000035705719000028/0000357057-19-000028-index.htm
0000880709-19-000039,N-MFP2,880709,FIDELITY COURT STREET TRUST II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/880709/000088070919000039/0000880709-19-000039-index.htm
0001258897-19-001623,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001623/0001258897-19-001623-index.htm
0001258897-19-001629,N-MFP2,912577,FEDERATED INSURANCE SERIES,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/912577/000125889719001629/0001258897-19-001629-index.htm
0001145549-19-016239,N-MFP2,850628,LEGG MASON PARTNERS PREMIUM MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/850628/000114554919016239/0001145549-19-016239-index.htm
0001145549-19-016462,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016462/0001145549-19-016462-index.htm
0001145549-19-016467,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016467/0001145549-19-016467-index.htm
0001145549-19-016510,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919016510/0001145549-19-016510-index.htm
0001718745-19-000162,N-MFP2,1217286,JPMorgan Trust I,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000162/0001718745-19-000162-index.htm
0001258897-19-001624,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001624/0001258897-19-001624-index.htm
0000702149-19-000012,N-MFP2,702149,NORTH CAROLINA CAPITAL MANAGEMENT TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/702149/000070214919000012/0000702149-19-000012-index.htm
0001098992-19-000009,N-MFP2,1027263,EQ ADVISORS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1027263/000109899219000009/0001098992-19-000009-index.htm
0001145549-19-016188,N-MFP2,702340,PENN SERIES FUNDS INC,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/702340/000114554919016188/0001145549-19-016188-index.htm
0001145549-19-016200,N-MFP2,773674,AMERICAN CENTURY GOVERNMENT INCOME TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/773674/000114554919016200/0001145549-19-016200-index.htm
0001145549-19-016354,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919016354/0001145549-19-016354-index.htm
0001145549-19-016421,N-MFP2,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/828806/000114554919016421/0001145549-19-016421-index.htm
0001145549-19-016350,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919016350/0001145549-19-016350-index.htm
0001145549-19-016355,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919016355/0001145549-19-016355-index.htm
0001145549-19-016444,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016444/0001145549-19-016444-index.htm
0000277751-19-000049,N-MFP2,277751,JANUS INVESTMENT FUND,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/277751/000027775119000049/0000277751-19-000049-index.htm
0001003715-19-000129,N-MFP2,934699,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/934699/000100371519000129/0001003715-19-000129-index.htm
0001145549-19-016348,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919016348/0001145549-19-016348-index.htm
0001145549-19-016422,N-MFP2,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/828806/000114554919016422/0001145549-19-016422-index.htm
0001022695-19-000046,N-MFP2,1022695,FIDELITY REVERE STREET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1022695/000102269519000046/0001022695-19-000046-index.htm
0000894189-19-003525,N-MFP2,356134,FIRST AMERICAN FUNDS INC,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/356134/000089418919003525/0000894189-19-003525-index.htm
0001145549-19-016271,N-MFP2,916620,NORTHERN FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/916620/000114554919016271/0001145549-19-016271-index.htm
0001145549-19-016278,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919016278/0001145549-19-016278-index.htm
0001145549-19-016364,N-MFP2,920467,"T. Rowe Price Fixed Income Series, Inc.",2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/920467/000114554919016364/0001145549-19-016364-index.htm
0001500666-19-000049,N-MFP2,770906,FIRST INVESTORS LIFE SERIES FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/770906/000150066619000049/0001500666-19-000049-index.htm
0000356173-19-000092,N-MFP2,356173,Fidelity Colchester Street Trust,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000092/0000356173-19-000092-index.htm
0000917286-19-000048,N-MFP2,917286,FIDELITY HEREFORD STREET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/917286/000091728619000048/0000917286-19-000048-index.htm
0001145549-19-016506,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919016506/0001145549-19-016506-index.htm
0000704207-19-000025,N-MFP2,704207,Fidelity Newbury Street Trust,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/704207/000070420719000025/0000704207-19-000025-index.htm
0000880799-19-000039,N-MFP2,880799,FIDELITY MUNICIPAL TRUST II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/880799/000088079919000039/0000880799-19-000039-index.htm
0001145549-19-016284,N-MFP2,869663,Ready Assets U.S. Treasury Money Fund,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/869663/000114554919016284/0001145549-19-016284-index.htm
0001145549-19-016434,N-MFP2,205007,SHORT-TERM INVESTMENTS TRUST,2019-06-07,2019-05-31,S000000220,https://www.sec.gov/Archives/edgar/data/205007/000114554919016434/0001145549-19-016434-index.htm
0001145549-19-016450,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016450/0001145549-19-016450-index.htm
0001145549-19-016249,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/747576/000114554919016249/0001145549-19-016249-index.htm
0001145549-19-016240,N-MFP2,850628,LEGG MASON PARTNERS PREMIUM MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/850628/000114554919016240/0001145549-19-016240-index.htm
0001145549-19-016257,N-MFP2,915092,MASTER INVESTMENT PORTFOLIO,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/915092/000114554919016257/0001145549-19-016257-index.htm
0001145549-19-016389,N-MFP2,1026977,CITY NATIONAL ROCHDALE FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1026977/000114554919016389/0001145549-19-016389-index.htm
0001145549-19-016396,N-MFP2,703642,DEUTSCHE DWS MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/703642/000114554919016396/0001145549-19-016396-index.htm
0000878662-19-000024,N-MFP2,878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/878662/000087866219000024/0000878662-19-000024-index.htm
0000880799-19-000038,N-MFP2,880799,FIDELITY MUNICIPAL TRUST II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/880799/000088079919000038/0000880799-19-000038-index.htm
0001145549-19-016449,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016449/0001145549-19-016449-index.htm
0001145549-19-016349,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919016349/0001145549-19-016349-index.htm
0000949365-19-000079,N-MFP2,1048702,NATIONWIDE MUTUAL FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1048702/000094936519000079/0000949365-19-000079-index.htm
0001145549-19-016172,N-MFP2,1068204,TIAA-CREF LIFE FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1068204/000114554919016172/0001145549-19-016172-index.htm
0001145549-19-016226,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919016226/0001145549-19-016226-index.htm
0001145549-19-016260,N-MFP2,356013,RETIREMENT SERIES TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/356013/000114554919016260/0001145549-19-016260-index.htm
0001145549-19-016171,N-MFP2,777535,COLLEGE RETIREMENT EQUITIES FUND,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/777535/000114554919016171/0001145549-19-016171-index.htm
0001145549-19-016232,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/747576/000114554919016232/0001145549-19-016232-index.htm
0001003715-19-000128,N-MFP2,795259,MUTUAL OF AMERICA INVESTMENT CORP,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/795259/000100371519000128/0001003715-19-000128-index.htm
0001145549-19-016407,N-MFP2,1413032,Columbia Funds Variable Series Trust II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1413032/000114554919016407/0001145549-19-016407-index.htm
0001258897-19-001637,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001637/0001258897-19-001637-index.htm
0000949365-19-000080,N-MFP2,353905,NATIONWIDE VARIABLE INSURANCE TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/353905/000094936519000080/0000949365-19-000080-index.htm
0001145549-19-016241,N-MFP2,719269,MFS VARIABLE INSURANCE TRUST II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/719269/000114554919016241/0001145549-19-016241-index.htm
0001145549-19-016352,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919016352/0001145549-19-016352-index.htm
0001145549-19-016468,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016468/0001145549-19-016468-index.htm
0001145549-19-016263,N-MFP2,1040612,MADISON FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1040612/000114554919016263/0001145549-19-016263-index.htm
0001145549-19-016418,N-MFP2,896435,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE FUNDS),2019-06-07,2019-05-31,S000000185,https://www.sec.gov/Archives/edgar/data/896435/000114554919016418/0001145549-19-016418-index.htm
0001145549-19-016447,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016447/0001145549-19-016447-index.htm
0001145549-19-016455,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016455/0001145549-19-016455-index.htm
0001145549-19-016465,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016465/0001145549-19-016465-index.htm
0001145549-19-016487,N-MFP2,741375,MORGAN STANLEY INSTITUTIONAL FUND TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/741375/000114554919016487/0001145549-19-016487-index.htm
0001004726-19-000118,N-MFP2,798290,HSBC FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/798290/000100472619000118/0001004726-19-000118-index.htm
0001145549-19-016190,N-MFP2,356476,GREAT-WEST FUNDS INC,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/356476/000114554919016190/0001145549-19-016190-index.htm
0001145549-19-016233,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/889512/000114554919016233/0001145549-19-016233-index.htm
0001145549-19-016244,N-MFP2,814079,Funds For Institutions Series,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/814079/000114554919016244/0001145549-19-016244-index.htm
0000880799-19-000040,N-MFP2,880799,FIDELITY MUNICIPAL TRUST II,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/880799/000088079919000040/0000880799-19-000040-index.htm
0001145549-19-016458,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016458/0001145549-19-016458-index.htm
0001145549-19-016243,N-MFP2,814079,Funds For Institutions Series,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/814079/000114554919016243/0001145549-19-016243-index.htm
0001145549-19-016250,N-MFP2,798244,MFS SERIES TRUST I,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/798244/000114554919016250/0001145549-19-016250-index.htm
0001145549-19-016453,N-MFP2,930007,PACE SELECT ADVISORS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/930007/000114554919016453/0001145549-19-016453-index.htm
0001718745-19-000155,N-MFP2,1217286,JPMorgan Trust I,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000155/0001718745-19-000155-index.htm
0001145549-19-016222,N-MFP2,927972,MASSMUTUAL PREMIER FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/927972/000114554919016222/0001145549-19-016222-index.htm
0001145549-19-016267,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919016267/0001145549-19-016267-index.htm
0001145549-19-016265,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919016265/0001145549-19-016265-index.htm
0001145549-19-016413,N-MFP2,316968,"T. Rowe Price Government Money Fund, Inc.",2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/316968/000114554919016413/0001145549-19-016413-index.htm
0001145549-19-016438,N-MFP2,918266,SCHWAB ANNUITY PORTFOLIOS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/918266/000114554919016438/0001145549-19-016438-index.htm
0001145549-19-016445,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016445/0001145549-19-016445-index.htm
0001219120-19-000019,N-MFP2,899148,RYDEX SERIES FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/899148/000121912019000019/0001219120-19-000019-index.htm
0001145549-19-016473,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016473/0001145549-19-016473-index.htm
0000793769-19-000020,N-MFP2,793769,HARBOR FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/793769/000079376919000020/0000793769-19-000020-index.htm
0001145549-19-016253,N-MFP2,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1161852/000114554919016253/0001145549-19-016253-index.htm
0001145549-19-016275,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919016275/0001145549-19-016275-index.htm
0001145549-19-016362,N-MFP2,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/795384/000114554919016362/0001145549-19-016362-index.htm
0001145549-19-016404,N-MFP2,711175,PRUDENTIAL SERIES FUND,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/711175/000114554919016404/0001145549-19-016404-index.htm
0001145549-19-016441,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919016441/0001145549-19-016441-index.htm
0001219120-19-000017,N-MFP2,1064046,RYDEX VARIABLE TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1064046/000121912019000017/0001219120-19-000017-index.htm
0000894189-19-003524,N-MFP2,356134,FIRST AMERICAN FUNDS INC,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/356134/000089418919003524/0000894189-19-003524-index.htm
0001145549-19-016463,N-MFP2,1060517,UBS Series Funds,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919016463/0001145549-19-016463-index.htm
0001145549-19-016193,N-MFP2,311635,LORD ABBETT US GOV & GOV SPONSORED ENTERPR MONEY MARKET FUND,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/311635/000114554919016193/0001145549-19-016193-index.htm
0001258897-19-001642,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001642/0001258897-19-001642-index.htm
0001145549-19-016268,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919016268/0001145549-19-016268-index.htm
0001145549-19-016270,N-MFP2,916620,NORTHERN FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/916620/000114554919016270/0001145549-19-016270-index.htm
0001145549-19-016279,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919016279/0001145549-19-016279-index.htm
0001145549-19-016303,N-MFP2,106830,VANGUARD MONEY MARKET RESERVES,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/106830/000114554919016303/0001145549-19-016303-index.htm
0001145549-19-016381,N-MFP2,67590,"PRUDENTIAL Government Money Market Fund, INC.",2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/67590/000114554919016381/0001145549-19-016381-index.htm
0001145549-19-016223,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919016223/0001145549-19-016223-index.htm
0001145549-19-016227,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919016227/0001145549-19-016227-index.htm
0001258897-19-001628,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001628/0001258897-19-001628-index.htm
0001718745-19-000153,N-MFP2,1217286,JPMorgan Trust I,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000153/0001718745-19-000153-index.htm
0000356173-19-000095,N-MFP2,356173,Fidelity Colchester Street Trust,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000095/0000356173-19-000095-index.htm
0001145549-19-016255,N-MFP2,893818,BlackRock Funds III,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/893818/000114554919016255/0001145549-19-016255-index.htm
0001145549-19-016480,N-MFP2,1403166,Master Trust,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919016480/0001145549-19-016480-index.htm
0001145549-19-016266,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919016266/0001145549-19-016266-index.htm
0001145549-19-016276,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919016276/0001145549-19-016276-index.htm
0001145549-19-016395,N-MFP2,703642,DEUTSCHE DWS MONEY MARKET TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/703642/000114554919016395/0001145549-19-016395-index.htm
0001145549-19-016234,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/889512/000114554919016234/0001145549-19-016234-index.htm
0001145549-19-016501,N-MFP2,719423,VALIC Co I,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/719423/000114554919016501/0001145549-19-016501-index.htm
0001258897-19-001638,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001638/0001258897-19-001638-index.htm
0001145549-19-016274,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-06-07,2019-05-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919016274/0001145549-19-016274-index.htm
