accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0000030158-20-000131,N-MFP2,819940,"BNY Mellon Investment Funds IV, Inc.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/819940/000003015820000131/0000030158-20-000131-index.htm
0000030158-20-000120,N-MFP2,740766,DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/740766/000003015820000120/0000030158-20-000120-index.htm
0001717375-20-000037,N-MFP2,740123,DREYFUS TAX EXEMPT CASH MANAGEMENT FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/740123/000171737520000037/0001717375-20-000037-index.htm
0001717375-20-000043,N-MFP2,1423799,Dreyfus Institutional Reserves Funds,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1423799/000171737520000043/0001717375-20-000043-index.htm
0000030158-20-000124,N-MFP2,353560,"GENERAL MONEY MARKET FUND, INC.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/353560/000003015820000124/0000030158-20-000124-index.htm
0000030158-20-000119,N-MFP2,759667,DREYFUS CASH MANAGEMENT,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/759667/000003015820000119/0000030158-20-000119-index.htm
0000030158-20-000126,N-MFP2,702172,"GENERAL GOVERNMENT SECURITIES MONEY MARKET FUNDS, INC.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/702172/000003015820000126/0000030158-20-000126-index.htm
0001717375-20-000041,N-MFP2,1038520,DREYFUS INSTITUTIONAL PREFERRED MONEY MARKET FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1038520/000171737520000041/0001717375-20-000041-index.htm
0001717375-20-000034,N-MFP2,703153,"GENERAL MUNICIPAL MONEY MARKET FUNDS, INC.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/703153/000171737520000034/0001717375-20-000034-index.htm
0000030158-20-000128,N-MFP2,1038520,DREYFUS INSTITUTIONAL PREFERRED MONEY MARKET FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1038520/000003015820000128/0000030158-20-000128-index.htm
0001717375-20-000036,N-MFP2,878734,DREYFUS AMT-FREE NEW YORK MUNICIPAL CASH MANAGEMENT,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/878734/000171737520000036/0001717375-20-000036-index.htm
0001717375-20-000042,N-MFP2,1423799,Dreyfus Institutional Reserves Funds,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1423799/000171737520000042/0001717375-20-000042-index.htm
0001717375-20-000033,N-MFP2,803951,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/803951/000171737520000033/0001717375-20-000033-index.htm
0000030158-20-000129,N-MFP2,1167368,CITIZENSSELECT FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1167368/000003015820000129/0000030158-20-000129-index.htm
0000030158-20-000117,N-MFP2,885409,"DREYFUS BASIC MONEY MARKET FUND, INC.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/885409/000003015820000117/0000030158-20-000117-index.htm
0000030158-20-000123,N-MFP2,813383,BNY MELLON VARIABLE INVESTMENT FUND,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/813383/000003015820000123/0000030158-20-000123-index.htm
0000030158-20-000118,N-MFP2,740766,DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/740766/000003015820000118/0000030158-20-000118-index.htm
0000030158-20-000130,N-MFP2,1167368,CITIZENSSELECT FUNDS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1167368/000003015820000130/0000030158-20-000130-index.htm
0001717375-20-000044,N-MFP2,1423799,Dreyfus Institutional Reserves Funds,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1423799/000171737520000044/0001717375-20-000044-index.htm
0001717375-20-000040,N-MFP2,1111565,BNY MELLON FUNDS TRUST,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1111565/000171737520000040/0001717375-20-000040-index.htm
0000030158-20-000121,N-MFP2,796251,Dreyfus Treasury Obligations Cash Management,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/796251/000003015820000121/0000030158-20-000121-index.htm
0001717375-20-000038,N-MFP2,867955,DREYFUS AMT-FREE MUNICIPAL CASH MANAGEMENT PLUS,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/867955/000171737520000038/0001717375-20-000038-index.htm
0000030158-20-000125,N-MFP2,702172,"GENERAL GOVERNMENT SECURITIES MONEY MARKET FUNDS, INC.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/702172/000003015820000125/0000030158-20-000125-index.htm
0000030158-20-000116,N-MFP2,30158,"DREYFUS LIQUID ASSETS, INC.",2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/30158/000003015820000116/0000030158-20-000116-index.htm
0001717375-20-000039,N-MFP2,1111565,BNY MELLON FUNDS TRUST,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1111565/000171737520000039/0001717375-20-000039-index.htm
0001398432-20-000078,N-MFP2,93832,CAPITAL CASH MANAGEMENT TRUST,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/93832/000139843220000078/0001398432-20-000078-index.htm
0001717375-20-000035,N-MFP2,803950,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/803950/000171737520000035/0001717375-20-000035-index.htm
0000030158-20-000122,N-MFP2,843781,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/843781/000003015820000122/0000030158-20-000122-index.htm
0001717375-20-000032,N-MFP2,1717375,Dreyfus Institutional Liquidity Funds,2020-11-04,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1717375/000171737520000032/0001717375-20-000032-index.htm
0000894189-20-008851,N-MFP2,825759,TRUST FOR CREDIT UNIONS,2020-11-03,2020-10-30,,https://www.sec.gov/Archives/edgar/data/825759/000089418920008851/0000894189-20-008851-index.htm
0001003715-20-000139,N-MFP2/A,934699,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2020-11-03,2020-09-30,S000009411,https://www.sec.gov/Archives/edgar/data/934699/000100371520000139/0001003715-20-000139-index.htm
0001206774-20-003000,N-MFP2/A,2663,VOYA GOVERNMENT MONEY MARKET PORTFOLIO,2020-11-02,2020-09-30,S000008702,https://www.sec.gov/Archives/edgar/data/2663/000120677420003000/0001206774-20-003000-index.htm
0001145549-20-073741,N-MFP2,810893,PIMCO FUNDS,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/810893/000114554920073741/0001145549-20-073741-index.htm
