accession_no,cik,name,filed_at,filing_url
0001145549-20-000294,1388485,FundVantage Trust,2020-01-07,https://www.sec.gov/Archives/edgar/data/1388485/000114554920000294/0001145549-20-000294-index.htm
0001206774-20-000027,1066602,Voya FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1066602/000120677420000027/0001206774-20-000027-index.htm
0000928816-20-000014,822671,PUTNAM VARIABLE TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/822671/000092881620000014/0000928816-20-000014-index.htm
0001145549-20-000396,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000396/0001145549-20-000396-index.htm
0001145549-20-000431,774412,PLAN INVESTMENT FUND INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/774412/000114554920000431/0001145549-20-000431-index.htm
0001145549-20-000361,1352280,Columbia Funds Series Trust II,2020-01-07,https://www.sec.gov/Archives/edgar/data/1352280/000114554920000361/0001145549-20-000361-index.htm
0000810016-20-000001,810016,Ivy Variable Insurance Portfolios,2020-01-07,https://www.sec.gov/Archives/edgar/data/810016/000081001620000001/0000810016-20-000001-index.htm
0001145549-20-000402,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000402/0001145549-20-000402-index.htm
0001145549-20-000425,777535,COLLEGE RETIREMENT EQUITIES FUND,2020-01-07,https://www.sec.gov/Archives/edgar/data/777535/000114554920000425/0001145549-20-000425-index.htm
0001145549-20-000398,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000398/0001145549-20-000398-index.htm
0001145549-20-000348,702340,PENN SERIES FUNDS INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/702340/000114554920000348/0001145549-20-000348-index.htm
0001145549-20-000399,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000399/0001145549-20-000399-index.htm
0001727644-20-000007,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000172764420000007/0001727644-20-000007-index.htm
0001717734-20-000006,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000171773420000006/0001717734-20-000006-index.htm
0000898745-20-000005,898745,PRINCIPAL FUNDS INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/898745/000089874520000005/0000898745-20-000005-index.htm
0001206774-20-000026,837276,Voya INVESTORS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/837276/000120677420000026/0001206774-20-000026-index.htm
0001145549-20-000395,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000395/0001145549-20-000395-index.htm
0001145549-20-000400,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000400/0001145549-20-000400-index.htm
0001145549-20-000356,203002,DAVIS SERIES INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/203002/000114554920000356/0001145549-20-000356-index.htm
0001717981-20-000005,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000171798120000005/0001717981-20-000005-index.htm
0001727644-20-000006,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000172764420000006/0001727644-20-000006-index.htm
0000899148-20-000005,1064046,RYDEX VARIABLE TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1064046/000089914820000005/0000899148-20-000005-index.htm
0001145549-20-000298,766351,Securian Funds Trust,2020-01-07,https://www.sec.gov/Archives/edgar/data/766351/000114554920000298/0001145549-20-000298-index.htm
0001145549-20-000371,787623,TRANSAMERICA FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/787623/000114554920000371/0001145549-20-000371-index.htm
0001145549-20-000351,1040612,MADISON FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/1040612/000114554920000351/0001145549-20-000351-index.htm
0001717981-20-000006,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000171798120000006/0001717981-20-000006-index.htm
0000740766-20-000001,740766,DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/740766/000074076620000001/0000740766-20-000001-index.htm
0000928816-20-000016,932101,PUTNAM INVESTMENT FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/932101/000092881620000016/0000928816-20-000016-index.htm
0001145549-20-000342,865733,HOMESTEAD FUNDS INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/865733/000114554920000342/0001145549-20-000342-index.htm
0000928816-20-000012,81248,PUTNAM MONEY MARKET FUND,2020-01-07,https://www.sec.gov/Archives/edgar/data/81248/000092881620000012/0000928816-20-000012-index.htm
0001717734-20-000007,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000171773420000007/0001717734-20-000007-index.htm
0001760237-20-000006,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000176023720000006/0001760237-20-000006-index.htm
0001717981-20-000008,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000171798120000008/0001717981-20-000008-index.htm
0001717981-20-000007,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000171798120000007/0001717981-20-000007-index.htm
0001760237-20-000004,319108,"BlackRock Series Fund, Inc.",2020-01-07,https://www.sec.gov/Archives/edgar/data/319108/000176023720000004/0001760237-20-000004-index.htm
0001760237-20-000005,844779,BLACKROCK FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/844779/000176023720000005/0001760237-20-000005-index.htm
0001145549-20-000363,1413032,Columbia Funds Variable Series Trust II,2020-01-07,https://www.sec.gov/Archives/edgar/data/1413032/000114554920000363/0001145549-20-000363-index.htm
0001145549-20-000429,774412,PLAN INVESTMENT FUND INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/774412/000114554920000429/0001145549-20-000429-index.htm
0001727644-20-000005,97098,BLACKROCK LIQUIDITY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/97098/000172764420000005/0001727644-20-000005-index.htm
0001145549-20-000362,1352280,Columbia Funds Series Trust II,2020-01-07,https://www.sec.gov/Archives/edgar/data/1352280/000114554920000362/0001145549-20-000362-index.htm
0001145549-20-000426,1068204,TIAA-CREF LIFE FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/1068204/000114554920000426/0001145549-20-000426-index.htm
0001727644-20-000008,355916,"BlackRock Variable Series Funds, Inc.",2020-01-07,https://www.sec.gov/Archives/edgar/data/355916/000172764420000008/0001727644-20-000008-index.htm
0000949365-20-000003,1048702,NATIONWIDE MUTUAL FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/1048702/000094936520000003/0000949365-20-000003-index.htm
0000949365-20-000004,353905,NATIONWIDE VARIABLE INSURANCE TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/353905/000094936520000004/0000949365-20-000004-index.htm
0001145549-20-000430,1084380,TIAA-CREF FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/1084380/000114554920000430/0001145549-20-000430-index.htm
0001145549-20-000292,914036,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/914036/000114554920000292/0001145549-20-000292-index.htm
0001145549-20-000416,1516523,Advisers Investment Trust,2020-01-07,https://www.sec.gov/Archives/edgar/data/1516523/000114554920000416/0001145549-20-000416-index.htm
0001004726-20-000007,864508,Cavanal Hill Funds,2020-01-07,https://www.sec.gov/Archives/edgar/data/864508/000100472620000007/0001004726-20-000007-index.htm
0000899148-20-000002,899148,RYDEX SERIES FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/899148/000089914820000002/0000899148-20-000002-index.htm
0000898745-20-000004,898745,PRINCIPAL FUNDS INC,2020-01-07,https://www.sec.gov/Archives/edgar/data/898745/000089874520000004/0000898745-20-000004-index.htm
0001145549-20-000441,1317146,MML Series Investment Fund II,2020-01-07,https://www.sec.gov/Archives/edgar/data/1317146/000114554920000441/0001145549-20-000441-index.htm
0000883622-20-000002,883622,IVY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/883622/000088362220000002/0000883622-20-000002-index.htm
0001145549-20-000414,1131013,GuideStone Funds,2020-01-07,https://www.sec.gov/Archives/edgar/data/1131013/000114554920000414/0001145549-20-000414-index.htm
0001145549-20-000401,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000401/0001145549-20-000401-index.htm
0001500666-20-000011,934348,"MILES FUNDS, INC.",2020-01-07,https://www.sec.gov/Archives/edgar/data/934348/000150066620000011/0001500666-20-000011-index.htm
0001398344-20-000322,702435,Meeder Funds,2020-01-07,https://www.sec.gov/Archives/edgar/data/702435/000139834420000322/0001398344-20-000322-index.htm
0000759667-20-000001,759667,DREYFUS CASH MANAGEMENT,2020-01-06,https://www.sec.gov/Archives/edgar/data/759667/000075966720000001/0000759667-20-000001-index.htm
0000831363-20-000008,867955,DREYFUS AMT-FREE MUNICIPAL CASH MANAGEMENT PLUS,2020-01-06,https://www.sec.gov/Archives/edgar/data/867955/000083136320000008/0000831363-20-000008-index.htm
0000831363-20-000007,740123,DREYFUS TAX EXEMPT CASH MANAGEMENT FUNDS,2020-01-06,https://www.sec.gov/Archives/edgar/data/740123/000083136320000007/0000831363-20-000007-index.htm
0000759667-20-000002,796251,Dreyfus Treasury Obligations Cash Management,2020-01-06,https://www.sec.gov/Archives/edgar/data/796251/000075966720000002/0000759667-20-000002-index.htm
0000811869-20-000002,811869,THRIVENT MUTUAL FUNDS,2020-01-06,https://www.sec.gov/Archives/edgar/data/811869/000081186920000002/0000811869-20-000002-index.htm
0000831363-20-000013,1423799,Dreyfus Institutional Reserves Funds,2020-01-06,https://www.sec.gov/Archives/edgar/data/1423799/000083136320000013/0000831363-20-000013-index.htm
0000894189-20-000097,1761511,North Capital Funds Trust,2020-01-06,https://www.sec.gov/Archives/edgar/data/1761511/000089418920000097/0000894189-20-000097-index.htm
0000831363-20-000001,831363,"GENERAL NEW JERSEY MUNICIPAL MONEY MARKET FUND, INC.",2020-01-06,https://www.sec.gov/Archives/edgar/data/831363/000083136320000001/0000831363-20-000001-index.htm
0000831363-20-000002,1717375,Dreyfus Institutional Liquidity Funds,2020-01-06,https://www.sec.gov/Archives/edgar/data/1717375/000083136320000002/0000831363-20-000002-index.htm
0000831363-20-000014,1423799,Dreyfus Institutional Reserves Funds,2020-01-06,https://www.sec.gov/Archives/edgar/data/1423799/000083136320000014/0000831363-20-000014-index.htm
0000831363-20-000011,1038520,DREYFUS INSTITUTIONAL PREFERRED MONEY MARKET FUNDS,2020-01-06,https://www.sec.gov/Archives/edgar/data/1038520/000083136320000011/0000831363-20-000011-index.htm
0000831363-20-000010,1111565,BNY MELLON FUNDS TRUST,2020-01-06,https://www.sec.gov/Archives/edgar/data/1111565/000083136320000010/0000831363-20-000010-index.htm
0001140361-20-000285,763534,CHURCHILL CASH RESERVES TRUST,2020-01-06,https://www.sec.gov/Archives/edgar/data/763534/000114036120000285/0001140361-20-000285-index.htm
0001300087-20-000002,1300087,Thrivent Cash Management Trust,2020-01-06,https://www.sec.gov/Archives/edgar/data/1300087/000130008720000002/0001300087-20-000002-index.htm
0000831363-20-000012,1423799,Dreyfus Institutional Reserves Funds,2020-01-06,https://www.sec.gov/Archives/edgar/data/1423799/000083136320000012/0000831363-20-000012-index.htm
0000831363-20-000004,703153,"GENERAL MUNICIPAL MONEY MARKET FUNDS, INC.",2020-01-06,https://www.sec.gov/Archives/edgar/data/703153/000083136320000004/0000831363-20-000004-index.htm
0000790166-20-000003,790166,THRIVENT SERIES FUND INC,2020-01-06,https://www.sec.gov/Archives/edgar/data/790166/000079016620000003/0000790166-20-000003-index.htm
0001140361-20-000286,93832,CAPITAL CASH MANAGEMENT TRUST,2020-01-06,https://www.sec.gov/Archives/edgar/data/93832/000114036120000286/0001140361-20-000286-index.htm
0000742212-20-000002,742212,NORTHWESTERN MUTUAL SERIES FUND INC,2020-01-06,https://www.sec.gov/Archives/edgar/data/742212/000074221220000002/0000742212-20-000002-index.htm
0000759667-20-000003,702172,"GENERAL GOVERNMENT SECURITIES MONEY MARKET FUNDS, INC.",2020-01-06,https://www.sec.gov/Archives/edgar/data/702172/000075966720000003/0000759667-20-000003-index.htm
0000831363-20-000005,803950,GENERAL NEW YORK AMT-FREE MUNICIPAL MONEY MARKET FUND,2020-01-06,https://www.sec.gov/Archives/edgar/data/803950/000083136320000005/0000831363-20-000005-index.htm
0000831363-20-000006,878734,DREYFUS AMT-FREE NEW YORK MUNICIPAL CASH MANAGEMENT,2020-01-06,https://www.sec.gov/Archives/edgar/data/878734/000083136320000006/0000831363-20-000006-index.htm
0000831363-20-000009,1111565,BNY MELLON FUNDS TRUST,2020-01-06,https://www.sec.gov/Archives/edgar/data/1111565/000083136320000009/0000831363-20-000009-index.htm
0000831363-20-000003,803951,GENERAL CALIFORNIA MUNICIPAL MONEY MARKET FUND,2020-01-06,https://www.sec.gov/Archives/edgar/data/803951/000083136320000003/0000831363-20-000003-index.htm
0000819940-20-000012,843781,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,2020-01-03,https://www.sec.gov/Archives/edgar/data/843781/000081994020000012/0000819940-20-000012-index.htm
0000819940-20-000015,702172,"GENERAL GOVERNMENT SECURITIES MONEY MARKET FUNDS, INC.",2020-01-03,https://www.sec.gov/Archives/edgar/data/702172/000081994020000015/0000819940-20-000015-index.htm
0001167368-20-000001,1167368,CITIZENSSELECT FUNDS,2020-01-03,https://www.sec.gov/Archives/edgar/data/1167368/000116736820000001/0001167368-20-000001-index.htm
0000819940-20-000013,813383,BNY MELLON VARIABLE INVESTMENT FUND,2020-01-03,https://www.sec.gov/Archives/edgar/data/813383/000081994020000013/0000819940-20-000013-index.htm
0000819940-20-000010,885409,"DREYFUS BASIC MONEY MARKET FUND, INC.",2020-01-03,https://www.sec.gov/Archives/edgar/data/885409/000081994020000010/0000819940-20-000010-index.htm
0000819940-20-000008,819940,"BNY Mellon Investment Funds IV, Inc.",2020-01-03,https://www.sec.gov/Archives/edgar/data/819940/000081994020000008/0000819940-20-000008-index.htm
0000819940-20-000014,353560,"GENERAL MONEY MARKET FUND, INC.",2020-01-03,https://www.sec.gov/Archives/edgar/data/353560/000081994020000014/0000819940-20-000014-index.htm
0000819940-20-000017,1167368,CITIZENSSELECT FUNDS,2020-01-03,https://www.sec.gov/Archives/edgar/data/1167368/000081994020000017/0000819940-20-000017-index.htm
0000819940-20-000009,30158,"DREYFUS LIQUID ASSETS, INC.",2020-01-03,https://www.sec.gov/Archives/edgar/data/30158/000081994020000009/0000819940-20-000009-index.htm
0001580642-20-000048,924628,SARATOGA ADVANTAGE TRUST,2020-01-03,https://www.sec.gov/Archives/edgar/data/924628/000158064220000048/0001580642-20-000048-index.htm
0000819940-20-000016,1038520,DREYFUS INSTITUTIONAL PREFERRED MONEY MARKET FUNDS,2020-01-03,https://www.sec.gov/Archives/edgar/data/1038520/000081994020000016/0000819940-20-000016-index.htm
0000819940-20-000011,740766,DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS,2020-01-03,https://www.sec.gov/Archives/edgar/data/740766/000081994020000011/0000819940-20-000011-index.htm
0000894189-20-000009,825759,TRUST FOR CREDIT UNIONS,2020-01-02,https://www.sec.gov/Archives/edgar/data/825759/000089418920000009/0000894189-20-000009-index.htm
