accession_no,cik,name,filed_at,filing_url
0001145549-20-000536,1046292,GOLDMAN SACHS VARIABLE INSURANCE TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1046292/000114554920000536/0001145549-20-000536-index.htm
0001145549-20-000633,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000633/0001145549-20-000633-index.htm
0001145549-20-000822,783401,VANGUARD CALIFORNIA TAX-FREE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/783401/000114554920000822/0001145549-20-000822-index.htm
0001718745-20-000014,763852,JPMORGAN TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/763852/000171874520000014/0001718745-20-000014-index.htm
0000880799-20-000005,880799,FIDELITY MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880799/000088079920000005/0000880799-20-000005-index.htm
0001003715-20-000012,934699,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/934699/000100371520000012/0001003715-20-000012-index.htm
0001145549-20-000686,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2020-01-08,https://www.sec.gov/Archives/edgar/data/1161852/000114554920000686/0001145549-20-000686-index.htm
0001258897-20-000011,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000011/0001258897-20-000011-index.htm
0001145549-20-000667,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000667/0001145549-20-000667-index.htm
0001145549-20-000789,205007,SHORT-TERM INVESTMENTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/205007/000114554920000789/0001145549-20-000789-index.htm
0001258897-20-000002,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000002/0001258897-20-000002-index.htm
0001258897-20-000005,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000005/0001258897-20-000005-index.htm
0001004726-20-000026,1091439,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1091439/000100472620000026/0001004726-20-000026-index.htm
0001145549-20-000591,814679,ADVANCED SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/814679/000114554920000591/0001145549-20-000591-index.htm
0001145549-20-000598,889366,"BMO FUNDS, INC.",2020-01-08,https://www.sec.gov/Archives/edgar/data/889366/000114554920000598/0001145549-20-000598-index.htm
0001004726-20-000020,798290,HSBC FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/798290/000100472620000020/0001004726-20-000020-index.htm
0001145549-20-000741,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000741/0001145549-20-000741-index.htm
0000356173-20-000014,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000014/0000356173-20-000014-index.htm
0000880797-20-000004,880797,FIDELITY UNION STREET TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880797/000088079720000004/0000880797-20-000004-index.htm
0000917286-20-000006,917286,FIDELITY HEREFORD STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/917286/000091728620000006/0000917286-20-000006-index.htm
0001145549-20-000551,908406,AMERICAN CENTURY INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/908406/000114554920000551/0001145549-20-000551-index.htm
0001145549-20-000590,916620,NORTHERN FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/916620/000114554920000590/0001145549-20-000590-index.htm
